ticker,tenor_months,target_date,expiration,fetched_at_utc,underlying_last,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,mid,spread_abs,spread_pct,adjusted_mid
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385366,2024-10-31,4550.0,,1685.3,1727.2,,,0,1,0.222189,True,REGULAR,USD,call,1706.25,41.90000000000009,0.0245567765567766,1719.5105263157889
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404832,2024-12-27,4600.0,,1659.6,1700.9,,,0,2303,0.228777,True,REGULAR,USD,call,1680.25,41.30000000000018,0.0245796756435055,1680.0302631578943
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385367,,4650.0,,1620.2,1660.9,,,0,0,0.226682,True,REGULAR,USD,call,1640.5500000000002,40.700000000000045,0.0248087531620493,1640.5500000000002
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404833,2024-12-27,4700.0,,1581.0,1621.2,,,0,2326,0.224611,True,REGULAR,USD,call,1601.1,40.200000000000045,0.0251077384298295,1601.1
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385368,2024-11-22,4750.0,,1542.2,1581.8,,,0,6,0.222612,True,REGULAR,USD,call,1562.0,39.59999999999991,0.0253521126760562,1562.0
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404834,2024-12-27,4800.0,,1503.6,1542.7,,,0,2241,0.220623,True,REGULAR,USD,call,1523.15,39.100000000000136,0.0256704855070085,1523.15
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385369,2024-09-20,4850.0,,1465.3,1503.8,,,0,1,0.21864,True,REGULAR,USD,call,1484.55,38.5,0.0259337846485466,1484.55
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404835,2024-11-25,4900.0,,1427.3,1465.2,,,0,2109,0.216683,True,REGULAR,USD,call,1446.25,37.90000000000009,0.0262057044079516,1446.25
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385370,2024-12-16,4950.0,,1389.5,1426.9,,,0,20,0.214723,True,REGULAR,USD,call,1408.2,37.40000000000009,0.0265587274534867,1408.2
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404836,2024-12-31,5000.0,,1352.0,1388.9,,,0,55511,0.21278,True,REGULAR,USD,call,1370.45,36.90000000000009,0.0269254624393448,1370.45
