obs_freq,obs_tenor_months,maturity_years,n_observations,coupon_rate,coupon_rate_pct,coupon_rate_pa_pct,price,price_pct,price_diff,price_diff_bps,survival_probability,terminal_par_contribution,terminal_put_contribution,expected_expiry_years,expected_expiry_months
quarterly,3,2.75,11,0.02360912,2.360912,9.443648,0.9999999985742432,99.99999985742431,-1.4257568459186132e-09,-1.4257568459186132e-05,0.0763891621330982,0.000925939289516527,0.038950325423498834,0.608396863011024,7.300762356132289
quarterly,3,3.0,12,0.02311159,2.311159,9.244636,0.9999999935532609,99.99999935532608,-6.446739142518254e-09,-6.446739142518254e-05,0.07219151217653635,0.0004983052191833131,0.03535935656637917,0.6264424303414343,7.517309164097211
semi-annual,6,0.25,1,0.01908626,1.9086260000000002,7.634504000000001,1.0000000039657042,100.00000039657041,3.965704209463183e-09,3.9657042094631834e-05,0.9999999999983834,0.9675612109772785,0.013583069242638421,0.25,3.0
semi-annual,6,0.5,1,0.04162856,4.1628560000000006,8.325712000000001,1.0000000046518318,100.00000046518318,4.651831808644147e-09,4.651831808644147e-05,0.9999999997707663,0.9276653511625483,0.03170459649247266,0.5,6.0
semi-annual,6,0.75,2,0.04122418,4.122418,10.993114666666665,0.9999999955409965,99.99999955409965,-4.459003499768244e-09,-4.459003499768244e-05,0.3247662873369077,0.2323900670693111,0.05542522516192015,0.5811915725707282,6.974298870848738
semi-annual,6,1.0,2,0.04768614,4.768614,9.537228,1.0000000029994613,100.00000029994614,2.99946134596496e-09,2.99946134596496e-05,0.3247661890079307,0.21830863631100467,0.061349121257658734,0.662383111943953,7.948597343327437
semi-annual,6,1.25,3,0.04594846,4.594846,11.027630400000001,0.9999999942093153,99.99999942093153,-5.7906847095168246e-09,-5.7906847095168246e-05,0.19865485556826185,0.08169066842177464,0.07138576071113241,0.7120468070344621,8.544561684413544
semi-annual,6,1.5,3,0.04834639,4.834639,9.669278,1.0000000066477168,100.00000066477168,6.647716821461813e-09,6.647716821461813e-05,0.19865471303212934,0.07621486862268503,0.07342846330112773,0.7617104251901726,9.140525102282071
semi-annual,6,1.75,4,0.04589727,4.589727,10.490804571428571,1.0000000043746649,100.00000043746648,4.374664852591081e-09,4.3746648525910814e-05,0.1537227210030519,0.03287465930588364,0.07197193644175606,0.8001409617896083,9.601691541475299
semi-annual,6,2.0,4,0.04702281,4.702281,9.404562,0.9999999971349391,99.99999971349392,-2.8650608552283074e-09,-2.8650608552283074e-05,0.15372239091810425,0.030595775555200877,0.07250253130096285,0.8385712800888918,10.062855361066703
semi-annual,6,2.25,5,0.04470034,4.470034,9.933408888888888,0.9999999964998721,99.99999964998722,-3.500127854216828e-09,-3.500127854216828e-05,0.12861446769802648,0.013165629015088826,0.06554267486677759,0.8707243992565067,10.44869279107808
semi-annual,6,2.5,5,0.04534369,4.534369,9.068738,0.9999999950147698,99.99999950147698,-4.985230228626847e-09,-4.985230228626847e-05,0.12861383110917332,0.012225370401702925,0.0654242514912109,0.9028770429878765,10.834524515854518
semi-annual,6,2.75,6,0.0433364,4.33364,9.455214545454545,0.9999999913784599,99.99999913784599,-8.621540148467943e-09,-8.621540148467943e-05,0.11218850492080688,0.005261432451371604,0.05683942143052795,0.9309228941382266,11.17107472965872
semi-annual,6,3.0,6,0.04376315,4.376315,8.75263,0.9999999965736852,99.99999965736852,-3.426314787446927e-09,-3.426314787446927e-05,0.11218739548804921,0.004875734064877953,0.05649037328293601,0.9589678355792698,11.507614026951238
