day,T_years,forward_interp,is_pillar_day,forward_pillar
77,0.21095890410958903,5913.263913971832,0,
78,0.2136986301369863,5913.857157773091,0,
79,0.21643835616438356,5914.450461091081,0,
80,0.2191780821917808,5915.0438239317855,0,
81,0.2219178082191781,5915.637246301186,0,
82,0.22465753424657534,5916.2307282052325,0,
83,0.2273972602739726,5916.82426964991,0,
84,0.23013698630136986,5917.417870641201,0,
85,0.2328767123287671,5918.01153118506,0,
86,0.2356164383561644,5918.605251287471,0,
87,0.23835616438356164,5919.199030954421,0,
88,0.2410958904109589,5919.792870191863,1,5919.79287019186
89,0.24383561643835616,5920.398300868154,0,
90,0.2465753424657534,5921.003793463218,0,
91,0.2493150684931507,5921.609347983386,0,
92,0.25205479452054796,5922.214964434992,0,
93,0.2547945205479452,5922.820642824369,0,
94,0.25753424657534246,5923.426383157853,0,
95,0.2602739726027397,5924.032185441777,0,
96,0.26301369863013696,5924.638049682479,0,
97,0.26575342465753427,5925.243975886294,0,
98,0.2684931506849315,5925.849964059559,0,
99,0.27123287671232876,5926.456014208612,0,
100,0.273972602739726,5927.0621263397925,0,
101,0.27671232876712326,5927.668300459439,0,
102,0.27945205479452057,5928.27453657389,0,
103,0.2821917808219178,5928.8808346894875,0,
104,0.28493150684931506,5929.487194812571,0,
105,0.2876712328767123,5930.0936169494835,0,
106,0.29041095890410956,5930.700101106567,0,
107,0.29315068493150687,5931.306647290164,0,
108,0.2958904109589041,5931.913255506618,0,
109,0.29863013698630136,5932.5199257622735,0,
110,0.3013698630136986,5933.126658063476,0,
111,0.3041095890410959,5933.733452416569,0,
112,0.30684931506849317,5934.340308827901,0,
113,0.3095890410958904,5934.947227303818,0,
114,0.31232876712328766,5935.554207850668,0,
115,0.3150684931506849,5936.161250474798,0,
116,0.3178082191780822,5936.768355182558,0,
117,0.32054794520547947,5937.375521980295,0,
118,0.3232876712328767,5937.982750874363,0,
119,0.32602739726027397,5938.590041871109,0,
120,0.3287671232876712,5939.197394976887,0,
121,0.3315068493150685,5939.804810198048,0,
122,0.33424657534246577,5940.412287540944,0,
123,0.336986301369863,5941.019827011929,0,
124,0.33972602739726027,5941.6274286173575,0,
125,0.3424657534246575,5942.235092363584,0,
126,0.3452054794520548,5942.842818256963,0,
127,0.34794520547945207,5943.450606303851,0,
128,0.3506849315068493,5944.058456510605,0,
129,0.35342465753424657,5944.666368883581,0,
130,0.3561643835616438,5945.274343429137,0,
131,0.3589041095890411,5945.882380153633,0,
132,0.36164383561643837,5946.490479063426,0,
133,0.3643835616438356,5947.098640164879,0,
134,0.36712328767123287,5947.706863464349,0,
135,0.3698630136986301,5948.3151489681995,0,
136,0.3726027397260274,5948.923496682792,0,
137,0.37534246575342467,5949.5319066144875,0,
138,0.3780821917808219,5950.14037876965,0,
139,0.38082191780821917,5950.748913154644,0,
140,0.3835616438356164,5951.357509775832,0,
141,0.3863013698630137,5951.966168639581,0,
142,0.38904109589041097,5952.574889752256,0,
143,0.3917808219178082,5953.183673120223,0,
144,0.39452054794520547,5953.7925187498495,0,
145,0.3972602739726027,5954.401426647502,0,
146,0.4,5955.01039681955,0,
147,0.40273972602739727,5955.619429272362,0,
148,0.4054794520547945,5956.228524012308,0,
149,0.40821917808219177,5956.837681045758,0,
150,0.410958904109589,5957.446900379083,0,
151,0.4136986301369863,5958.056182018653,0,
152,0.41643835616438357,5958.665525970843,0,
153,0.4191780821917808,5959.274932242024,0,
154,0.42191780821917807,5959.8844008385695,0,
155,0.4246575342465753,5960.493931766855,0,
156,0.4273972602739726,5961.103525033253,0,
157,0.4301369863013699,5961.713180644141,0,
158,0.4328767123287671,5962.322898605895,0,
159,0.43561643835616437,5962.932678924891,0,
160,0.4383561643835616,5963.542521607506,0,
161,0.4410958904109589,5964.15242666012,0,
162,0.4438356164383562,5964.762394089109,0,
163,0.4465753424657534,5965.372423900854,0,
164,0.44931506849315067,5965.982516101736,0,
165,0.4520547945205479,5966.592670698134,0,
166,0.4547945205479452,5967.20288769643,0,
167,0.4575342465753425,5967.813167103005,0,
168,0.4602739726027397,5968.423508924243,0,
169,0.46301369863013697,5969.033913166526,0,
170,0.4657534246575342,5969.64437983624,0,
171,0.4684931506849315,5970.254908939767,0,
172,0.4712328767123288,5970.8655004834945,0,
173,0.473972602739726,5971.476154473808,0,
174,0.4767123287671233,5972.086870917092,0,
175,0.4794520547945205,5972.6976498197355,0,
176,0.4821917808219178,5973.308491188127,0,
177,0.4849315068493151,5973.919395028653,0,
178,0.4876712328767123,5974.5303613477045,0,
179,0.4904109589041096,5975.14139015167,1,5975.141390151673
180,0.4931506849315068,5975.732838866801,0,
181,0.4958904109589041,5976.324346126419,0,
182,0.4986301369863014,5976.915911936318,0,
183,0.5013698630136987,5977.5075363022825,0,
184,0.5041095890410959,5978.099219230131,0,
185,0.5068493150684932,5978.690960725649,0,
186,0.5095890410958904,5979.282760794635,0,
187,0.5123287671232877,5979.874619442885,0,
188,0.5150684931506849,5980.466536676198,0,
189,0.5178082191780822,5981.0585125003745,0,
190,0.5205479452054794,5981.650546921202,0,
191,0.5232876712328767,5982.242639944502,0,
192,0.5260273972602739,5982.834791576065,0,
193,0.5287671232876713,5983.427001821693,0,
194,0.5315068493150685,5984.019270687187,0,
